"matricula","sumSessions","Prova"
"60BAF986",4451,"Prova2"
"619B5433",14679,"Prova2"
"63116A24",17466,"Prova2"
"64B26A18",5493,"Prova2"
"673B031F",17974,"Prova2"
"67657F86",20067,"Prova2"
"68151142",18536,"Prova2"
"6878BF80",16382,"Prova2"
"68FA8B73",3998,"Prova2"
"69DEEC46",11622,"Prova2"
"6A197CF",7804,"Prova2"
"6BA5CF35",19369,"Prova2"
"6C643AAF",0,"Prova2"
"70F93A3B",5204,"Prova2"
"71F3C736",13536,"Prova2"
"7365085E",13106,"Prova2"
"740BC298",21424,"Prova2"
"74E3795C",2721,"Prova2"
"77089DA4",4926,"Prova2"
"77A35CA",20875,"Prova2"
"792B1580",4966,"Prova2"
"79CBE190",26408,"Prova2"
"79D7BD5B",20023,"Prova2"
"7BA159DE",7510,"Prova2"
"7BCB919D",35284,"Prova2"
"7BF33A4A",19329,"Prova2"
"7C52AF6D",24412,"Prova2"
"7DCD514D",27359,"Prova2"
"8CAB3DB",1374,"Prova2"
"ADBC154",23727,"Prova2"
"B30252C",1997,"Prova2"
"B5D2F64",4432,"Prova2"
"E3A19A",13759,"Prova2"
"F952D04",13291,"Prova2"
"107076E4",0,"Prova3"
"10E8A59E",6384,"Prova3"
"13085463",795,"Prova3"
"1397BFB0",1069,"Prova3"
"14A1B78B",1844,"Prova3"
"15A3743B",5293,"Prova3"
"15EA15E5",3933,"Prova3"
"1706D43",5184,"Prova3"
"1823A1FA",713,"Prova3"
"189E4323",0,"Prova3"
"19449717",852,"Prova3"
"1A25F6BF",5072,"Prova3"
"1B52DD48",0,"Prova3"
"1B81A33E",5745,"Prova3"
"1C897F15",3031,"Prova3"
"1CCD2085",2142,"Prova3"
"1DF2A12E",3431,"Prova3"
"210B0D56",340,"Prova3"
"21604216",1146,"Prova3"
"224511B3",608,"Prova3"
"22EB47AA",5440,"Prova3"
"2556AF8C",1069,"Prova3"
"25762941",1438,"Prova3"
"258DFC4B",0,"Prova3"
"267C1E34",0,"Prova3"
"26EA2FA",0,"Prova3"
"2777E5EE",0,"Prova3"
"281286BC",3105,"Prova3"
"2B989949",2816,"Prova3"
"32B00B44",5135,"Prova3"
"347D5E36",842,"Prova3"
"37594F45",5883,"Prova3"
"3826E0DE",3242,"Prova3"
"390C0CCC",3767,"Prova3"
"3A1B84F4",6714,"Prova3"
"3BC456D5",7740,"Prova3"
"3FE45559",0,"Prova3"
"4195063D",0,"Prova3"
"445E679D",1519,"Prova3"
"4482494C",330,"Prova3"
"44AF14C1",2532,"Prova3"
"44D029E4",0,"Prova3"
"46484C5E",4442,"Prova3"
"48295835",122,"Prova3"
"4AD45AC5",0,"Prova3"
"4B929F6",5193,"Prova3"
"4C84103A",3984,"Prova3"
"4D98EE47",0,"Prova3"
"51FE3830",4467,"Prova3"
"55BA642E",0,"Prova3"
"562A867F",4057,"Prova3"
"5978A120",0,"Prova3"
"5CD8B4FE",0,"Prova3"
