"","matricula","atividade"
"1","107076E4",0.185567010309278
"2","10E8A59E",0.309278350515464
"3","13085463",0.288659793814433
"4","1397BFB0",0.329896907216495
"5","14A1B78B",0.144329896907216
"6","15A3743B",0.144329896907216
"7","15EA15E5",0.247422680412371
"8","1706D43",0.0824742268041237
"9","1823A1FA",0.144329896907216
"10","189E4323",0.195876288659794
"11","19449717",0.257731958762887
"12","1A25F6BF",0.257731958762887
"13","1ABFFBDD",0.350515463917526
"14","1B52DD48",0.0412371134020619
"15","1B81A33E",0.402061855670103
"16","1C897F15",0.164948453608247
"17","1CCD2085",0.247422680412371
"18","1DF2A12E",0.484536082474227
"19","210B0D56",0.206185567010309
"20","21604216",0.247422680412371
"21","21C00083",0.11340206185567
"22","224511B3",0.103092783505155
"23","22EB47AA",0.278350515463918
"24","240164B6",0.206185567010309
"25","2556AF8C",0.288659793814433
"26","2561F105",0.0515463917525773
"27","25762941",0.288659793814433
"28","258DFC4B",0.298969072164948
"29","267C1E34",0.237113402061856
"30","26EA2FA",0.144329896907216
"31","2777E5EE",0.298969072164948
"32","281286BC",0.206185567010309
"33","28E49A9D",0.0927835051546392
"34","2B989949",0.43298969072165
"35","32B00B44",0.206185567010309
"36","347D5E36",0.360824742268041
"37","37594F45",0.43298969072165
"38","3826E0DE",0.422680412371134
"39","390C0CCC",0.319587628865979
"40","3A1B84F4",0.43298969072165
"41","3BC456D5",0.154639175257732
"42","3FE45559",0.0927835051546392
"43","4195063D",0.0618556701030928
"44","445E679D",0.11340206185567
"45","4482494C",0.247422680412371
"46","44AF14C1",0.577319587628866
"47","44D029E4",0.123711340206186
"48","46484C5E",0.731958762886598
"49","48295835",0.237113402061856
"50","492E11B4",0.0515463917525773
"51","4AD45AC5",0.257731958762887
"52","4B929F6",0.175257731958763
"53","4C84103A",0.154639175257732
"54","4D98EE47",0.329896907216495
"55","4DA185E9",0.0206185567010309
"56","51FE3830",0.278350515463918
"57","52C319A1",0.134020618556701
"58","52E571B8",0.103092783505155
"59","55BA642E",0.195876288659794
"60","562A867F",0.309278350515464
"61","5978A120",0.298969072164948
"62","5B8F96B8",0.195876288659794
"63","5CD8B4FE",0.123711340206186
"64","5D73E08B",0.206185567010309
"65","5DEBE97D",0.144329896907216
"66","5EA91E42",0.381443298969072
"67","60BAF986",0.103092783505155
"68","619B5433",0.144329896907216
"69","63116A24",0.402061855670103
"70","64B26A18",0.103092783505155
"71","673B031F",0.257731958762887
"72","67657F86",0.381443298969072
"73","68151142",0.329896907216495
"74","6878BF80",0.144329896907216
"75","68FA8B73",0.154639175257732
"76","69DEEC46",0.237113402061856
"77","6A197CF",0.34020618556701
"78","6BA5CF35",0.268041237113402
"79","6C643AAF",0.103092783505155
"80","70F93A3B",0.195876288659794
"81","71F3C736",0.463917525773196
"82","7365085E",0.123711340206186
"83","740BC298",0.474226804123711
"84","74E3795C",0.175257731958763
"85","77089DA4",0.103092783505155
"86","77A35CA",0.268041237113402
"87","792B1580",0.185567010309278
"88","79CBE190",0.268041237113402
"89","79D7BD5B",0.412371134020619
"90","7BA159DE",0.123711340206186
"91","7BCB919D",0.494845360824742
"92","7BF33A4A",0.268041237113402
"93","7C52AF6D",0.103092783505155
"94","7DCD514D",0.494845360824742
"95","8CAB3DB",0.144329896907216
"96","ADBC154",0.154639175257732
"97","B30252C",0.0927835051546392
"98","B5D2F64",0.0927835051546392
"99","E3A19A",0.123711340206186
"100","F952D04",0.257731958762887
