"","mediana.sessao","num.exercicios","tempo.total.estudo","atividade","numeroSessoes","amountSubmission","correctSubmissions","ProporcaoSubCorretas"
"mediana.sessao",1,-0.0260125302044194,0.386799955315911,-0.000407776795317706,-0.0148015192453581,0.0181414242896943,0.0211321301055678,0.0539464085032453
"num.exercicios",-0.0260125302044194,1,0.698764149039411,0.827883242336209,0.830139195305262,0.918116859115602,0.938010749755792,0.606350263218721
"tempo.total.estudo",0.386799955315911,0.698764149039411,1,0.820402057865581,0.854510879563353,0.713452831925155,0.684768536537834,0.386771123613229
"atividade",-0.000407776795317706,0.827883242336209,0.820402057865581,1,0.973166311924966,0.805554247850085,0.795056455904558,0.472886433649211
"numeroSessoes",-0.0148015192453581,0.830139195305262,0.854510879563353,0.973166311924966,1,0.808834324722687,0.785285492500503,0.450552391366799
"amountSubmission",0.0181414242896943,0.918116859115602,0.713452831925155,0.805554247850085,0.808834324722687,1,0.949239446248505,0.48481980471329
"correctSubmissions",0.0211321301055678,0.938010749755792,0.684768536537834,0.795056455904558,0.785285492500503,0.949239446248505,1,0.691394056645629
"ProporcaoSubCorretas",0.0539464085032453,0.606350263218721,0.386771123613229,0.472886433649211,0.450552391366799,0.48481980471329,0.691394056645629,1
