"matricula","meanSessions","Prova"
"5D73E08B",26789,"Prova2"
"5DEBE97D",9919,"Prova2"
"5EA91E42",48571,"Prova2"
"60BAF986",11452,"Prova2"
"619B5433",26761,"Prova2"
"63116A24",49834,"Prova2"
"64B26A18",6543,"Prova2"
"673B031F",39123,"Prova2"
"67657F86",51403,"Prova2"
"68151142",31293,"Prova2"
"6878BF80",21824,"Prova2"
"68FA8B73",37216,"Prova2"
"69DEEC46",44037,"Prova2"
"6A197CF",44067,"Prova2"
"6BA5CF35",52053,"Prova2"
"6C643AAF",3791,"Prova2"
"70F93A3B",6592,"Prova2"
"71F3C736",77722,"Prova2"
"7365085E",14504,"Prova2"
"740BC298",97032,"Prova2"
"74E3795C",9006,"Prova2"
"77089DA4",9443,"Prova2"
"77A35CA",35834,"Prova2"
"792B1580",7485,"Prova2"
"79CBE190",57194,"Prova2"
"79D7BD5B",83324,"Prova2"
"7BA159DE",21018,"Prova2"
"7BCB919D",115723,"Prova2"
"7BF33A4A",30448,"Prova2"
"7C52AF6D",25219,"Prova2"
"7DCD514D",90991,"Prova2"
"8CAB3DB",3475,"Prova2"
"ADBC154",33813,"Prova2"
"B30252C",6359,"Prova2"
"B5D2F64",4432,"Prova2"
"E3A19A",16075,"Prova2"
"F952D04",19812,"Prova2"
"107076E4",9572,"Prova3"
"10E8A59E",14288,"Prova3"
"13085463",42857,"Prova3"
"1397BFB0",1477,"Prova3"
"14A1B78B",5996,"Prova3"
"15A3743B",5369,"Prova3"
"15EA15E5",17258,"Prova3"
"1706D43",5984,"Prova3"
"1823A1FA",713,"Prova3"
"189E4323",9596,"Prova3"
"19449717",15638,"Prova3"
"1A25F6BF",9811,"Prova3"
"1ABFFBDD",25909,"Prova3"
"1B52DD48",0,"Prova3"
"1B81A33E",6140,"Prova3"
"1C897F15",8004,"Prova3"
"1CCD2085",38257,"Prova3"
"1DF2A12E",7352,"Prova3"
"210B0D56",402,"Prova3"
"21604216",8175,"Prova3"
"224511B3",1951,"Prova3"
"22EB47AA",13831,"Prova3"
"240164B6",0,"Prova3"
"2556AF8C",7097,"Prova3"
"25762941",1673,"Prova3"
"258DFC4B",824,"Prova3"
"267C1E34",146,"Prova3"
"26EA2FA",3663,"Prova3"
"2777E5EE",7548,"Prova3"
"281286BC",4664,"Prova3"
"2B989949",53550,"Prova3"
"32B00B44",5869,"Prova3"
"347D5E36",6987,"Prova3"
"37594F45",15550,"Prova3"
"3826E0DE",57072,"Prova3"
"390C0CCC",4702,"Prova3"
"3A1B84F4",23488,"Prova3"
"3BC456D5",7914,"Prova3"
"3FE45559",152,"Prova3"
"4195063D",2847,"Prova3"
"445E679D",1809,"Prova3"
"4482494C",412,"Prova3"
"44AF14C1",30060,"Prova3"
"44D029E4",0,"Prova3"
"46484C5E",32026,"Prova3"
"48295835",3037,"Prova3"
"4AD45AC5",0,"Prova3"
"4B929F6",13130,"Prova3"
"4C84103A",4270,"Prova3"
"4D98EE47",4181,"Prova3"
"51FE3830",24103,"Prova3"
"55BA642E",4175,"Prova3"
"562A867F",17427,"Prova3"
"5978A120",81,"Prova3"
"5B8F96B8",8758,"Prova3"
"5CD8B4FE",1799,"Prova3"
"5D73E08B",8879,"Prova3"
"5DEBE97D",111,"Prova3"
"5EA91E42",22361,"Prova3"
"60BAF986",0,"Prova3"
"619B5433",3668,"Prova3"
"63116A24",9873,"Prova3"
"64B26A18",2202,"Prova3"
"673B031F",41722,"Prova3"
"67657F86",30857,"Prova3"
"68151142",15337,"Prova3"
"6878BF80",73,"Prova3"
"68FA8B73",456,"Prova3"
"69DEEC46",18383,"Prova3"
"6A197CF",18757,"Prova3"
"6BA5CF35",51242,"Prova3"
"6C643AAF",3863,"Prova3"
"70F93A3B",11853,"Prova3"
"71F3C736",8732,"Prova3"
"7365085E",6831,"Prova3"
"740BC298",34496,"Prova3"
"74E3795C",3504,"Prova3"
"77089DA4",12016,"Prova3"
"77A35CA",1608,"Prova3"
"792B1580",775,"Prova3"
"79CBE190",9673,"Prova3"
"79D7BD5B",14754,"Prova3"
"7BA159DE",569,"Prova3"
"7BCB919D",4322,"Prova3"
"7BF33A4A",10698,"Prova3"
"7C52AF6D",5002,"Prova3"
"7DCD514D",16545,"Prova3"
"8CAB3DB",5515,"Prova3"
"ADBC154",6370,"Prova3"
"B30252C",4502,"Prova3"
"B5D2F64",2429,"Prova3"
"E3A19A",16388,"Prova3"
"F952D04",159,"Prova3"
