"matricula","mediana.sessao","nota.final.pratica","atividade"
"107076E4",0.778357235984355,0.244186046511628,0.225352112676056
"10E8A59E",0.161831812255541,0.604651162790698,0.464788732394366
"13085463",0.318122555410691,0.709302325581395,0.47887323943662
"1397BFB0",0.215775749674055,0.965116279069768,0.577464788732394
"14A1B78B",0.948500651890482,0.744186046511628,0.380281690140845
"15A3743B",0.819263363754889,0.790697674418605,0.309859154929577
"15EA15E5",0.26238591916558,0.325581395348837,0.366197183098592
"189E4323",0.123696219035202,0.127906976744186,0.366197183098592
"19449717",0.0853976531942634,0.813953488372093,0.535211267605634
"1A25F6BF",0.780638852672751,0.581395348837209,0.47887323943662
"1B81A33E",0.213494132985658,0.988372093023256,0.676056338028169
"1DF2A12E",0.258800521512386,0.941860465116279,0.690140845070423
"210B0D56",0.676336375488918,0.906976744186047,0.436619718309859
"21604216",0.25635593220339,0.755813953488372,0.408450704225352
"22EB47AA",1,0.825581395348837,0.52112676056338
"240164B6",0.186929595827901,0.174418604651163,0.28169014084507
"2556AF8C",0.13722294654498,0.627906976744186,0.408450704225352
"2561F105",0.445404172099087,0,0
"25762941",0.182366362451108,0.837209302325581,0.450704225352113
"258DFC4B",0.526401564537158,0.813953488372093,0.577464788732394
"267C1E34",0.144719687092568,0.883720930232558,0.436619718309859
"26EA2FA",0.323989569752282,0.755813953488372,0.295774647887324
"2777E5EE",0.788135593220339,0.651162790697674,0.408450704225352
"281286BC",0.410528031290743,0.918604651162791,0.380281690140845
"28E49A9D",0.594687092568449,0.27906976744186,0.197183098591549
"2B989949",0.258148631029987,0.581395348837209,0.647887323943662
"37594F45",0.627281616688396,0.767441860465116,0.676056338028169
"3826E0DE",0.52509778357236,0.813953488372093,0.563380281690141
"390C0CCC",0.136408083441982,0.744186046511628,0.492957746478873
"3A1B84F4",0.52509778357236,0.813953488372093,0.647887323943662
"3FE45559",0.0578552803129074,0.383720930232558,0.154929577464789
"4195063D",0.252444589308996,0.0348837209302326,0.0845070422535211
"445E679D",0.491525423728814,0.767441860465116,0.225352112676056
"4482494C",0.295795306388527,0.918604651162791,0.366197183098592
"44AF14C1",0.544980443285528,0.767441860465116,0.830985915492958
"44D029E4",0.332138200782269,0.0813953488372093,0.197183098591549
"46484C5E",0.0886571056062582,0.802325581395349,1
"492E11B4",0.642764015645372,0.22093023255814,0.126760563380282
"4AD45AC5",0.634126466753585,0.988372093023256,0.47887323943662
"4B929F6",0.120599739243807,0.895348837209302,0.309859154929577
"4C84103A",0.374511082138201,0.906976744186047,0.408450704225352
"4D98EE47",0.572685788787484,0.883720930232558,0.507042253521127
"51FE3830",0.95632333767927,0.767441860465116,0.450704225352113
"52C319A1",0.746251629726206,0.430232558139535,0.197183098591549
"52E571B8",0.148305084745763,0.290697674418605,0.169014084507042
"55BA642E",0.272327249022164,0.755813953488372,0.253521126760563
"562A867F",0.182692307692308,0.848837209302326,0.549295774647887
"5978A120",0.457301173402868,0.941860465116279,0.47887323943662
"5B8F96B8",0.384289439374185,0.674418604651163,0.28169014084507
"5CD8B4FE",0.0495436766623207,0.651162790697674,0.197183098591549
"5EA91E42",0.410691003911343,0.872093023255814,0.619718309859155
"60BAF986",0.188885267275098,0.255813953488372,0.140845070422535
"63116A24",0.177966101694915,0.895348837209302,0.633802816901408
"64B26A18",0,0.0930232558139535,0.225352112676056
"673B031F",0.53780964797914,0.72093023255814,0.47887323943662
"67657F86",0.32496740547588,0.767441860465116,0.619718309859155
"6878BF80",0.397164276401565,0.813953488372093,0.338028169014085
"68FA8B73",0.465123859191656,0.895348837209302,0.253521126760563
"6A197CF",0.0972946544980443,0.767441860465116,0.591549295774648
"6C643AAF",0.0140156453715776,0.0813953488372093,0.169014084507042
"71F3C736",0.480769230769231,0.906976744186047,0.647887323943662
"7365085E",0.236310299869622,0.22093023255814,0.225352112676056
"740BC298",0.408735332464146,0.372093023255814,0.619718309859155
"74E3795C",0.102346805736636,0.581395348837209,0.28169014084507
"77089DA4",0.458441981747067,0.267441860465116,0.23943661971831
"77A35CA",0.405475880052151,1,0.464788732394366
"792B1580",0.20632333767927,0.232558139534884,0.267605633802817
"79CBE190",0.557040417209909,0.802325581395349,0.464788732394366
"7BCB919D",0.38102998696219,0.837209302325581,0.71830985915493
"7BF33A4A",0.363102998696219,0.686046511627907,0.450704225352113
"7C52AF6D",0.630052151238592,0.837209302325581,0.267605633802817
"7DCD514D",0.382333767926988,0.767441860465116,0.676056338028169
"8CAB3DB",0.867992177314211,0.116279069767442,0.169014084507042
"ADBC154",0.795958279009126,0.604651162790698,0.253521126760563
"B5D2F64",0.598109517601043,0.290697674418605,0.197183098591549
"E3A19A",0.588005215123859,0.72093023255814,0.323943661971831
"F952D04",0.0570404172099087,0.941860465116279,0.464788732394366
